name,0,1,2,3,4
7173-19-7_7_0_0_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,15
7173-19-7_7_0_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,9
7173-19-7_7_1_0_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,1
7173-19-7_7_1_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_14895-1110-7_7,0,0,36,39,4
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_14895-1110-7_7,0,0,0,29,140
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_14895-1110-7_7,0,0,8,28,50
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_14895-1110-7_7,0,0,0,6,22
6035-1294-7_7_0_0_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,1,29
6035-1294-7_7_0_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,1,11,7
6035-1294-7_7_1_0_4FXE-ARG81-relax-noHyd-48-66__0_19,0,12,0,6,2
6035-1294-7_7_1_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,16,4,7
19579-1359-7_7_1_0_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,1
19579-1359-7_7_1_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,21
14778-5-7_7_1_1_4FXE-ARG81-relax-noHyd-48-66__0_19,0,0,0,0,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_17650-193-7_7,0,0,0,0,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_17650-193-7_7,0,0,0,2,3
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_17650-193-7_7,0,0,0,0,5
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_17650-193-7_7,0,0,0,1,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_1090-1-6_6,0,0,0,4,7
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_1090-1-6_6,0,0,0,1,14
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_1090-1-6_6,0,0,0,0,2
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_1090-1-6_6,0,0,2,2,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_1090-0-7_7,0,0,0,4,7
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_1090-0-7_7,0,0,0,0,2
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_22418-271-7_7,0,0,0,3,16
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_22418-271-7_7,0,0,0,0,3
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_22418-271-7_7,0,0,3,5,16
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_22418-271-7_7,0,0,0,0,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_22418-270-7_7,0,0,1,22,45
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_22418-270-7_7,0,0,0,3,16
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_22418-270-7_7,0,13,4,5,41
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_22418-270-7_7,0,0,3,5,16
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_1090-2-5_5,0,0,0,1,14
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_1090-2-5_5,0,0,2,2,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_19658-384-7_7,0,0,0,0,1
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_19658-384-7_7,0,0,0,4,1
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_19658-384-7_7,0,0,0,1,4
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_22339-787-7_7,0,0,0,0,3
4FXE-ARG81-relax-noHyd-48-66__0_19_0_0_18632-189-7_7,0,18,0,21,51
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_18632-189-7_7,0,0,7,2,591
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_18632-189-7_7,0,0,87,10,2900
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_18632-189-7_7,0,0,0,30,8
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_20130-226-7_7,0,0,3,0,0
4FXE-ARG81-relax-noHyd-48-66__0_19_1_0_20130-226-7_7,0,0,38,1,3
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_20130-226-7_7,0,0,12,58,6
4FXE-ARG81-relax-noHyd-48-66__0_19_0_1_19017-7-7_7,0,0,0,0,2
4FXE-ARG81-relax-noHyd-48-66__0_19_1_1_19017-7-7_7,0,0,0,0,1
